Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS▼,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards,Player-additional
1,Babe Ruth*,25,NYY,AL,11.9,142,617,458,158,172,36,9,54,135,14,14,150,80,.376,.532,.847,1.379,255,.587,248,388,3,5,*978/31H,,ruthba01
2,Cristóbal Torriente*,26,CAG,NNL,4.8,66,270,231,53,95,21,9,2,60,8,,30,,.411,.479,.606,1.085,223,.510,215,140,0,9,*8/519,,torricr99
3,George Sisler*,27,SLB,AL,9.7,154,692,631,137,257,49,18,19,122,42,17,46,19,.407,.449,.632,1.082,181,.502,187,399,2,13,*3/1,,sislege01
4,Tris Speaker*,32,CLE,AL,8.6,150,674,552,137,214,50,11,8,107,10,13,97,13,.388,.483,.562,1.045,172,.486,182,310,5,20,*8/H,,speaktr01
5,Jimmie Lyons*,30,DS,NNL,4.5,59,263,227,64,86,15,5,8,46,21,,26,,.379,.445,.595,1.040,209,.501,202,135,1,9,*87/13,,lyonsji01
6,Joe Jackson*,32,CHW,AL,7.5,146,649,570,105,218,42,20,12,121,9,12,56,14,.382,.444,.589,1.033,172,.473,179,336,7,16,*7/9H,,jacksjo01
7,Rogers Hornsby,24,STL,NL,9.6,149,660,589,96,218,44,20,9,94,12,15,60,50,.370,.431,.559,.990,185,.455,190,329,3,8,*4,,hornsro01
8,Oscar Charleston*,23,ABC,NNL,5.5,92,398,346,80,122,20,11,5,59,20,,37,,.353,.418,.517,.936,179,.451,173,179,2,13,*8/1937,,charlos99
9,Eddie Collins*,33,CHW,AL,7.9,153,706,602,117,224,38,13,3,76,20,8,69,19,.372,.438,.493,.932,147,.444,155,297,2,33,*4,,collied01
10,Happy Felsch,28,CHW,AL,5.6,142,615,556,88,188,40,15,14,115,8,13,37,25,.338,.384,.540,.923,143,.421,145,300,4,16,*8/H,,felscha01
11,Elmer Smith*,27,CLE,AL,4.1,129,527,456,82,144,37,10,12,103,5,4,53,35,.316,.391,.520,.910,136,.421,138,237,3,13,*9H,,smithel02
12,Ross Youngs*,23,NYG,NL,6.5,153,672,581,92,204,27,14,6,78,18,18,75,55,.351,.427,.477,.904,159,.423,165,277,2,13,*9,,youngro01
13,Baby Doll Jacobson,29,SLB,AL,5.9,154,673,609,97,216,34,14,9,122,11,7,46,37,.355,.402,.501,.903,135,.422,139,305,2,16,*89/3,,jacobba01
14,Harry Hooper*,32,BOS,AL,5.2,139,634,536,91,167,30,17,7,53,16,18,88,27,.312,.411,.470,.881,137,.409,142,252,2,5,*9/7H,,hoopeha01
15,Joe Judge*,26,WSH,AL,4.1,126,576,493,103,164,19,15,5,51,12,12,65,34,.333,.416,.462,.878,135,.411,141,228,5,13,*3/H,,judgejo01
16,Bob Meusel,23,NYY,AL,3.2,119,494,460,75,151,40,7,11,83,4,4,20,72,.328,.359,.517,.876,127,.398,123,238,2,12,597/H3,,meusebo01
17,Ty Cobb*,33,DET,AL,3.3,112,496,428,87,143,28,8,2,63,15,10,58,28,.334,.416,.451,.867,133,.410,138,193,2,7,*8/H,,cobbty01
18,Wally Schang#,30,BOS,AL,3.4,122,470,387,58,118,30,7,4,51,7,7,64,37,.305,.413,.450,.862,132,.405,138,174,7,8,28H/79,,schanwa01
19,Cy Williams*,32,PHI,NL,5.8,148,643,590,88,192,36,10,15,72,18,12,32,45,.325,.364,.497,.861,143,.404,147,293,4,17,*8/H,,willicy01
20,Charlie Blackwell*,25,SLG,NNL,1.8,64,277,237,46,75,8,7,4,35,15,,25,,.316,.400,.460,.860,156,.422,154,109,8,7,*8,,blackch03
21,Hurley McNair*,31,KCM,NNL,2.9,78,355,317,63,103,19,8,4,47,13,,25,,.325,.376,.473,.849,153,.408,148,150,1,12,*7/8,,mcnaihu01
22,Bernardo Baró*,24,CSW,NNL,1.9,61,272,241,47,81,9,4,4,35,9,,22,,.336,.392,.456,.848,153,.408,150,110,0,9,*8/1,,barobe01
23,Steve O'Neill,28,CLE,AL,4.4,149,578,489,63,157,39,5,3,55,3,5,69,39,.321,.408,.440,.848,121,.400,126,215,3,15,*2/H,,o'neist01
24,Zack Wheat*,32,BRO,NL,4.7,148,643,583,89,191,26,13,9,73,8,10,48,21,.328,.385,.463,.848,140,.398,145,270,6,6,*7,,wheatza01
